World Rank,University Name,Country,National Rank,Total Score
547,Saint Louis University,US,118-144,
548,Scuola Normale Superiore  Pisa,IT,18-24,
549,Shaanxi Normal University,CN,89-110,
550,Southwest University,CN,89-110,
551,Southwestern University of Finance and Economics,CN,89-110,
552,St Georges University of London,GB,39-40,
553,Stockholm School of Economics,SE,10,
554,Tampere University,FI,5-6,
555,Tehran University of Medical Sciences,IR,2,
556,Texas Tech University,US,118-144,
557,The City College of New York,US,118-144,
558,The University of Texas at Dallas,US,118-144,
559,The University of Texas at San Antonio,US,118-144,
560,Thomas Jefferson University,US,118-144,
561,Tianjin Medical University,CN,89-110,
562,Tulane University,US,118-144,
563,The University of New Mexico  Albuquerque,US,118-144,
564,Universit Della Svizzera Italiana,CH,8-9,
565,University of Alicante,ES,10-13,
566,University of Arkansas at Fayetteville,US,118-144,
567,University of Bayreuth,DE,32-36,
568,University of California Merced,US,118-144,
569,University of Catania,IT,18-24,
570,University of Eastern Finland,FI,5-6,
571,University of Fribourg,CH,8-9,
572,University of Graz,AT,6-7,
573,University of Guelph,CA,19-22,
574,University of Johannesburg,ZA,5-7,
575,University of Konstanz,DE,32-36,
576,University of KwaZuluNatal,ZA,5-7,
577,University of Maine,US,118-144,
578,University of Navarra,ES,10-13,
579,University of Nevada  Reno,US,118-144,
580,University of NevadaLas Vegas,US,118-144,
581,University of North Texas,US,118-144,
582,University of Oklahoma  Oklahoma City,US,118-144,
583,University of Palermo,IT,18-24,
584,University of Parma,IT,18-24,
585,University of Perugia,IT,18-24,
586,University of Roma  Tor Vergata,IT,18-24,
587,University of Rostock,DE,32-36,
588,University of Salamanca,ES,10-13,
589,University of Sherbrooke,CA,19-22,
590,University of South Australia,AU,25-26,
591,University of Strathclyde,GB,39-40,
592,University of Verona,IT,18-24,
593,University of Vigo,ES,10-13,
594,Vilnius University,LT,1,
595,Wake Forest University,US,118-144,
596,Wenzhou Medical University,CN,89-110,
597,West Virginia University,US,118-144,
598,Westlake University,CN,89-110,
599,Xian University of Technology,CN,89-110,
600,Yeungnam University,KR,13,
601,Addis Ababa University,ET,1,
602,Ain Shams University,EG,2-4,
603,Alexandria University,EG,2-4,
604,Amirkabir University of Technology,IR,3,
605,Asia University,TW,6-10,
606,Auburn University,US,145-157,
607,Bangor University,GB,41-45,
608,Baylor University,US,145-157,
609,Beijing University of Posts and Telecommunications,CN,111-129,
610,Brescia University,IT,25-31,
611,Chang Gung University,TW,6-10,
612,Changzhou University,CN,111-129,
613,Charles Darwin University,AU,27-28,
614,Chiang Mai University,TH,2-3,
615,Chiba University,JP,15-19,
616,China Medical University Shenyang,CN,111-129,
617,China University of Mining and Technology  Beijing,CN,111-129,
618,Chongqing Medical University,CN,111-129,
619,Chonnam National University,KR,14-18,
620,Clemson University,US,145-157,
621,Czech University of Life Sciences Prague,CZ,3-4,
622,Dalian Maritime University,CN,111-129,
623,Edith Cowan University,AU,27-28,
624,Ewha Womans University,KR,14-18,
625,Fujian Agriculture and Forestry University,CN,111-129,
626,Fujian Medical University,CN,111-129,
627,Fujian Normal University,CN,111-129,
628,Guizhou University,CN,111-129,
629,Harbin Medical University,CN,111-129,
630,Hasselt University,BE,8,
631,Henan Normal University,CN,111-129,
632,Hong Kong Baptist University,HK,6,
633,Indian Institute of Technology Kharagpur,IN,2-4,
634,Indian Institute of Technology Delhi,IN,2-4,
635,INHA University,KR,14-18,
636,Kitasato University,JP,15-19,
637,Konkuk University,KR,14-18,
638,Liverpool John Moores University,GB,41-45,
639,Loughborough University,GB,41-45,
640,Mahidol University,TH,2-3,
641,Mansoura University,EG,2-4,
642,Marche Polytechnic University,IT,25-31,
643,Medical University of Graz,AT,8,
644,Nanjing University of Chinese Medicine,CN,111-129,
645,Nantong University,CN,111-129,
646,National Polytechnic Institute,MX,2,
647,National Sun YatSen University,TW,6-10,
648,National Taiwan University of Science and Technology,TW,6-10,
649,The Second Military Medical University,CN,111-129,
650,NOVA University Lisbon,PT,6,
651,Osaka Metropolitan University,JP,15-19,
652,Palack University Olomouc,CZ,3-4,
653,Polytechnic University of Turin,IT,25-31,
654,Pontifical Catholic University of Chile,CL,2,
655,San Diego State University,US,145-157,
656,Semmelweis University,HU,2,
657,Shandong Agricultural University,CN,111-129,
658,Shandong Normal University,CN,111-129,
659,Shinshu University,JP,15-19,
660,University at Albany State University of New York,US,145-157,
661,State University of New York Health Science Center at Brooklyn,US,145-157,
662,Taipei Medical University,TW,6-10,
663,The University of Alabama  Tuscaloosa,US,145-157,
664,The University of Texas at Arlington,US,145-157,
665,Tokyo University of Science,JP,15-19,
666,Umea University,SE,11,
667,University of Arkansas for Medical Sciences,US,145-157,
668,University of Campania Luigi Vanvitelli,IT,25-31,
669,Universitat Jaume I,ES,14-20,
670,University of Alaska  Fairbanks,US,145-157,
671,University of Bremen,DE,37-40,
672,University of CastillaLa Mancha,ES,14-20,
673,University of Clermont Auvergne,FR,19,
674,University of Delhi,IN,2-4,
675,University of Ferrara,IT,25-31,
676,University of Giessen,DE,37-40,
677,University of Greenwich,GB,41-45,
678,University of Haifa,IL,7,
679,University of HalleWittenberg,DE,37-40,
680,University of Health Sciences Turkey,TR,2,
681,University of Iceland,IS,1,
682,University of Ljubljana,SI,1,
683,University of Luebeck,DE,37-40,
684,University of Luxembourg,LU,1,
685,University of New Hampshire,US,145-157,
686,University of Oviedo,ES,14-20,
687,University of Plymouth,GB,41-45,
688,University of Santiago Compostela,ES,14-20,
689,University of Science Malaysia,MY,3,
690,University of Seville,ES,14-20,
691,University of Siena,IT,25-31,
692,University of the Balearic Islands,ES,14-20,
693,University of Toledo,US,145-157,
694,University of Trieste,IT,25-31,
695,University of Tromso,NO,4,
696,University of Ulsan,KR,14-18,
697,University of Zaragoza,ES,14-20,
698,Wayne State University,US,145-157,
699,Wenzhou University,CN,111-129,
700,Yanshan University,CN,111-129,
701,Air Force Medical University,CN,130-147,
702,AlAzhar University,EG,5,
703,American University of Beirut,LB,1,
704,Army Medical University,CN,130-147,
705,Banaras Hindu University,IN,5-8,
706,Beijing Forestry University,CN,130-147,
707,Bielefeld University,DE,41-42,
708,Brno University of Technology,CZ,5,
709,Brunel University,GB,46-51,
710,Catholic University of Korea,KR,19-23,
711,Changsha University of Science and Technology,CN,130-147,
712,ChungAng University,KR,19-23,
713,Chungbuk National University,KR,19-23,
714,Chungnam National University,KR,19-23,
715,Copenhagen Business School,DK,6,
716,Donghua University,CN,130-147,
717,Federal University of Parana,BR,7-10,
718,Federal University of Santa Catarina,BR,7-10,
719,Federal University of Sao Paulo,BR,7-10,
720,Foshan University,CN,130-147,
721,Hacettepe University,TR,3-4,
722,Hebei University of Technology,CN,130-147,
723,Heilongjiang University,CN,130-147,
724,HSE University,RU,4-7,
725,Indian Institute of Technology Madras,IN,5-8,
726,INSA Toulouse,FR,20-22,
727,Istanbul Technical University,TR,3-4,
728,Jawaharlal Nehru University,IN,5-8,
729,Jeonbuk National University,KR,19-23,
730,Juntendo University,JP,20-23,
731,Kent State University,US,158-171,
732,Kindai University,JP,20-23,
733,Massey University,NZ,5,
734,Medical College of Wisconsin,US,158-171,
735,Memorial University of Newfoundland,CA,23-24,
736,National Chung Hsing University,TW,11-12,
737,National Yunlin University of Science and Technology,TW,11-12,
738,New Jersey Institute of Technology,US,158-171,
739,North China Electric Power University,CN,130-147,
740,Norwegian University of Life Sciences,NO,5,
741,Nottingham Trent University,GB,46-51,
742,Novosibirsk State University,RU,4-7,
743,Ohio University,US,158-171,
744,Old Dominion University,US,158-171,
745,Orebro University,SE,12,
746,Polytechnic University of Catalonia,ES,21-27,
747,Polytechnic University of Madrid,ES,21-27,
748,Qufu Normal University,CN,130-147,
749,Rutgers University  Newark,US,158-171,
750,Shahid Beheshti University of Medical Sciences,IR,4-7,
751,Shandong First Medical University,CN,130-147,
752,Shantou University,CN,130-147,
753,Shanxi University,CN,130-147,
754,Sharif University of Technology,IR,4-7,
755,Sichuan Agricultural University,CN,130-147,
756,Skolkovo Institute of Science and Technology,RU,4-7,
757,Southern Methodist University,US,158-171,
758,Syracuse University,US,158-171,
759,Taiyuan University of Technology,CN,130-147,
760,Tarbiat Modares University,IR,4-7,
761,Technical University of Braunschweig,DE,41-42,
762,The Open University,GB,46-51,
